fighter_a,fighter_b,event_date,target,elo_diff,elo_momentum_diff,height_diff,reach_diff,age_diff,slpm_diff,str_acc_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,days_since_last_diff,fight_rate_diff,opp_quality_diff,finish_rate_diff,ko_rate_diff,sub_rate_diff,win_streak_diff,kd_diff,same_stance,stance_?_vs_?,wc_Bantamweight,wc_Catch Weight,wc_Featherweight,wc_Flyweight,wc_Heavyweight,wc_Light Heavyweight,wc_Lightweight,wc_Middleweight,wc_Open Weight,wc_Super Heavyweight,wc_Welterweight,wc_Women's Bantamweight,wc_Women's Featherweight,wc_Women's Flyweight,wc_Women's Strawweight
Georges St-Pierre,Matt Hughes,"December 29, 2007",0.0,-41.851217772762766,13.790148131842216,0,0,0,0,0,0,0,0,0,0,-175,0.37934368578445277,40.10665873346329,-0.23636363636363633,0.12727272727272732,-0.36363636363636365,-1,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Chuck Liddell,Wanderlei Silva,"December 29, 2007",1.0,6.588951658863152,-2.284411590233276,0,0,0,0,0,0,0,0,0,0,-2717,1.6483052823725242,-7.011982980805442,-0.30000000000000004,-0.30000000000000004,0.0,0,1.0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Eddie Sanchez,Soa Palelei,"December 29, 2007",1.0,-15.297601336647176,-15.297601336647176,0,0,0,0,0,0,0,0,0,0,196,2.3717532467532467,0.0,1.0,1.0,0.0,0,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Lyoto Machida,Rameau Thierry Sokoudjou,"December 29, 2007",0.0,-16.7317064057263,-16.7317064057263,0,0,0,0,0,0,0,0,0,0,98,3.330547112462006,-0.24439824515116015,0.0,0.0,0.0,0,-10.0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Rich Clementi,Melvin Guillard,"December 29, 2007",1.0,-36.183499879082774,-36.13911030382178,0,0,0,0,0,0,0,0,0,0,-170,-1.294697960629011,-18.926628550407713,0.0,-0.6666666666666666,0.6666666666666667,-2,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
James Irvin,Luiz Cane,"December 29, 2007",0.0,-75.4869458778669,-42.91240016292204,0,0,0,0,0,0,0,0,0,0,217,1.727767265846736,-12.381856050000806,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Manvel Gamburyan,Nate Mohr,"December 29, 2007",0.0,15.290932343834584,0.0,0,0,0,0,0,0,0,0,0,0,-11,-0.7932065861170339,0.309990808056682,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Dean Lister,Jordan Radev,"December 29, 2007",0.0,-0.0069181035428300675,-16.006497728592194,0,0,0,0,0,0,0,0,0,0,138,0.05972246127366598,-16.83268533100454,0.0,0.0,0.0,1,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Roan Carneiro,Tony DeSouza,"December 29, 2007",0.0,46.1439068900861,13.121615919841588,0,0,0,0,0,0,0,0,0,0,-164,1.9742030587801733,29.76947782932075,-1.0,-1.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mark Bocek,Doug Evans,"December 29, 2007",1.0,30.593401543760592,0.0,0,0,0,0,0,0,0,0,0,0,-14,0.15460317460317463,-30.564127121723686,1.0,1.0,0.0,1,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
BJ Penn,Joe Stevenson,"January 19, 2008",1.0,-31.3555254753212,7.840432406952459,0,0,0,0,0,0,0,0,0,0,63,-1.083131362278294,2.9651766494598633,0.4166666666666667,0.25,0.16666666666666669,1,20.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Fabricio Werdum,Gabriel Gonzaga,"January 19, 2008",1.0,-0.7590008288543686,-15.985409464676195,0,0,0,0,0,0,0,0,0,0,126,-0.9708742584848777,3.528997280277963,-1.0,-1.0,0.0,-1,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Marcus Davis,Jess Liaudin,"January 19, 2008",1.0,6.982505552453858,18.27738505868274,0,0,0,0,0,0,0,0,0,0,0,0.04653607262302861,13.68810910579964,1.0,0.5,0.5,0,10.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Wilson Gouveia,Jason Lambert,"January 19, 2008",0.0,-13.727988538404816,2.9703043851832263,0,0,0,0,0,0,0,0,0,0,-84,-0.11687584441442045,4.634974210430073,0.0,-1.0,1.0,0,-10.0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Jorge Rivera,Kendall Grove,"January 19, 2008",0.0,-68.03327105215635,-18.660241777235342,0,0,0,0,0,0,0,0,0,0,203,-0.9229928677550012,4.276510331535519,0.33333333333333337,0.16666666666666669,0.16666666666666669,1,-10.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Antoni Hardonk,Colin Robinson,"January 19, 2008",0.0,-3.20655775164596,12.827350378523306,0,0,0,0,0,0,0,0,0,0,-70,0.882979527083176,-8.08813853648985,-0.5,-0.5,0.0,-1,-10.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Paul Kelly,Paul Taylor,"January 19, 2008",1.0,-0.3370270746991082,0.0,0,0,0,0,0,0,0,0,0,0,-133,-2.675824175824176,4.340233686423517,-1.0,0.0,-1.0,-1,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Alessio Sakara,James Lee,"January 19, 2008",0.0,-59.526989995551276,-43.73519206210517,0,0,0,0,0,0,0,0,0,0,133,2.6276978417266186,-8.942163115386393,1.0,0.0,1.0,0,0.0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Sam Stout,Per Eklund,"January 19, 2008",0.0,46.380779069186474,46.380779069186474,0,0,0,0,0,0,0,0,0,0,221,1.5973032069970845,4.0688474419293925,0.3333333333333333,0.0,0.3333333333333333,3,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Mike Swick,Joshua Burkman,"January 23, 2008",1.0,42.13908540763623,27.022263526892175,0,0,0,0,0,0,0,0,0,0,196,-1.0097453088475943,-9.91410310891365,-0.33333333333333337,0.16666666666666663,-0.5,0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Patrick Cote,Drew McFedries,"January 23, 2008",0.0,-10.596675609782096,3.7143978399292337,0,0,0,0,0,0,0,0,0,0,-74,-0.697646417774028,-0.4803978651705165,-0.33333333333333337,-0.6666666666666667,0.3333333333333333,1,-10.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Thiago Tavares,Michihiro Omigawa,"January 23, 2008",1.0,-1.4670746372262329,15.995130098714526,0,0,0,0,0,0,0,0,0,0,0,0.7702488970282193,-36.96343352893609,0.5,0.0,0.5,1,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
